Temperature_C,ER,Gasifying_Agent,Reactor_Type,Moisture_wt_pct,Pressure_bar,H2_mol_per_Nm3,CO2_mol_per_Nm3,CO_mol_per_Nm3,CH4_mol_per_Nm3,N2_mol_per_Nm3,tar_g_per_Nm3,char_g_per_kg_feed
880.0,0.0,Steam,DFB,7.8,1.0,22.3,10.9,9.26,1.44,0.237,0.29,7.53
833.0,0.369,Air,CFB,10.8,1.0,3.57,8.09,6.57,0.361,25.6,0.677,13.7
990.0,0.0,Steam,Downdraft,13.8,5.0,22.3,10.3,8.74,2.5,0.229,0.111,6.8
933.0,0.109,Steam+O2,CFB,19.8,1.0,19.5,8.07,14.5,1.07,1.05,1.3,14.1
773.0,0.0,Steam,CFB,22.6,15.0,19.1,12.8,6.98,4.84,0.204,3.74,42.6
868.0,0.343,Air,Downdraft,8.4,1.0,3.99,7.49,7.02,0.328,25.3,0.079,5.99
879.0,0.3,Steam+O2,Downdraft,13.8,5.0,17.6,10.3,12.7,2.49,1.04,0.1,6.43
835.0,0.0,Steam,Downdraft,3.3,1.0,21.8,11.3,9.15,1.64,0.308,0.126,12.8
787.0,0.302,Air,BFB,18.1,15.0,2.09,8.36,5.61,3.15,25.0,6.91,31.9
843.0,0.246,Air,CFB,7.0,15.0,3.22,7.17,6.21,3.29,24.3,1.69,19.0
848.0,0.172,O2,Downdraft,4.0,15.0,14.4,10.4,15.2,3.71,0.492,0.252,12.6
804.0,0.124,Steam+O2,Downdraft,11.9,1.0,18.6,9.08,14.0,1.39,1.1,0.251,14.3
815.0,0.379,Air,DFB,9.3,10.0,2.18,8.58,5.48,2.56,25.4,0.29,7.23
802.0,0.32,Air,DFB,12.4,1.0,3.83,7.93,6.79,0.581,25.0,0.335,8.69
912.0,0.283,Steam+O2,Downdraft,11.2,1.0,18.6,9.68,13.9,0.993,1.09,0.0564,4.35
893.0,0.0,Steam,CFB,26.6,1.0,21.8,11.7,8.68,1.44,0.156,1.54,19.5
827.0,0.186,Air,BFB,24.3,5.0,3.63,7.05,7.01,2.74,23.7,8.22,33.9
814.0,0.165,O2,BFB,2.0,1.0,15.6,9.96,16.7,1.36,0.507,3.5,26.1
795.0,0.243,Air,BFB,9.3,1.0,4.41,6.85,7.69,0.934,24.3,3.55,22.2
812.0,0.278,Air,BFB,9.3,1.0,4.08,7.33,7.35,0.562,24.8,2.85,20.6
851.0,0.342,O2,CFB,21.1,1.0,14.8,12.3,15.8,0.695,0.501,0.831,13.1
832.0,0.175,Air,BFB,12.0,1.0,5.3,5.71,8.28,0.996,23.9,4.31,21.4
938.0,0.323,O2,Downdraft,7.1,10.0,14.6,11.3,15.0,2.77,0.497,0.0861,5.12
798.0,0.396,Air,CFB,14.5,15.0,1.89,9.11,4.75,3.15,25.3,1.21,16.9
961.0,0.205,Air,Downdraft,9.6,1.0,6.08,5.36,8.79,0.143,23.8,0.0873,5.41
823.0,0.234,O2,Downdraft,10.7,1.0,15.4,11.0,16.4,0.987,0.389,0.159,11.0
879.0,0.0,Steam,Downdraft,14.4,5.0,21.3,11.3,8.28,3.03,0.19,0.205,12.7
726.0,0.0,Steam,BFB,19.6,1.0,20.2,12.5,8.38,2.29,0.238,7.51,57.1
749.0,0.107,Steam+O2,BFB,12.9,1.0,18.0,9.41,14.0,1.66,1.13,7.06,40.6
829.0,0.0,Steam,BFB,11.8,1.0,21.8,11.5,9.01,1.6,0.237,3.25,25.6
878.0,0.271,Steam+O2,CFB,19.0,1.0,18.4,10.1,13.7,1.02,0.968,0.786,11.6
831.0,0.198,Air,DFB,17.4,5.0,4.04,6.47,7.37,2.43,23.9,0.757,10.3
852.0,0.421,Air,DFB,15.3,1.0,3.2,8.56,6.34,0.194,25.9,0.138,5.64
834.0,0.163,Steam+O2,BFB,23.8,5.0,17.0,10.2,12.8,3.03,1.15,7.9,29.6
921.0,0.182,O2,Downdraft,2.3,1.0,16.5,9.48,17.0,0.784,0.405,0.0922,7.09
930.0,0.283,Steam+O2,Downdraft,7.6,1.0,19.0,9.33,14.0,0.845,1.07,0.049,4.58
856.0,0.0,Steam,CFB,18.1,1.0,21.9,11.5,8.8,1.75,0.243,1.38,19.7
916.0,0.309,Air,Downdraft,15.4,10.0,3.53,7.26,6.53,2.34,24.5,0.144,6.94
772.0,0.157,O2,DFB,18.8,5.0,14.4,10.9,15.5,2.86,0.445,1.1,19.3
842.0,0.0,Steam,CFB,20.0,1.0,21.6,11.7,8.86,1.59,0.243,1.72,23.0
879.0,0.322,Air,BFB,11.4,1.0,4.36,7.25,7.27,0.271,25.0,1.81,12.7
933.0,0.0,Steam,Downdraft,11.6,1.0,22.7,10.4,9.45,1.32,0.31,0.0982,7.45
911.0,0.197,Air,Downdraft,8.9,1.0,5.85,5.55,8.51,0.236,24.0,0.124,7.44
968.0,0.215,Air,BFB,16.8,1.0,5.86,5.37,8.69,0.336,23.9,2.48,13.0
790.0,0.0,Steam,BFB,18.6,1.0,20.9,11.8,8.74,1.97,0.246,5.24,33.1
919.0,0.174,Air,Downdraft,10.3,1.0,5.84,5.24,8.86,0.641,23.6,0.132,7.05
833.0,0.173,Steam+O2,Downdraft,11.6,1.0,18.5,9.4,14.0,1.33,1.01,0.184,10.9
835.0,0.435,Air,BFB,14.4,1.0,3.08,8.87,6.01,0.0726,26.1,0.95,14.0
840.0,0.221,O2,BFB,2.0,1.0,15.5,10.5,16.5,1.08,0.484,2.35,20.6
715.0,0.213,Air,CFB,12.3,20.0,2.35,7.75,5.8,4.2,24.1,4.57,42.6
883.0,0.232,Air,DFB,23.1,5.0,3.8,6.94,6.99,2.22,24.2,0.674,8.1
856.0,0.333,Air,BFB,24.0,1.0,3.38,8.31,6.73,0.415,25.3,2.8,19.2
882.0,0.165,Air,Downdraft,5.0,1.0,5.84,5.21,8.85,0.769,23.5,0.144,9.88
852.0,0.136,O2,Downdraft,7.1,10.0,14.9,9.77,15.6,3.47,0.442,0.286,13.8
890.0,0.157,O2,BFB,16.3,5.0,15.6,9.76,15.9,2.48,0.439,5.08,19.9
784.0,0.0,Steam,BFB,12.4,1.0,21.2,11.7,8.68,1.91,0.21,4.36,34.6
868.0,0.32,O2,BFB,17.6,1.0,15.1,11.8,16.1,0.698,0.459,2.21,16.9
893.0,0.172,Air,BFB,17.4,1.0,5.58,5.45,8.55,0.673,23.9,4.16,20.9
763.0,0.23,Steam+O2,BFB,25.3,1.0,16.9,11.2,13.0,1.53,1.2,5.96,34.7
832.0,0.176,Air,BFB,17.1,1.0,5.14,5.84,8.19,0.906,24.1,4.84,27.2
869.0,0.275,Air,DFB,20.9,1.0,4.23,7.35,7.24,0.493,24.9,0.406,8.53
789.0,0.0,Steam,DFB,18.7,1.0,21.0,12.0,8.69,2.0,0.199,0.647,17.4
861.0,0.193,O2,DFB,22.7,1.0,15.7,10.7,16.4,1.09,0.369,0.565,8.24
798.0,0.155,Air,BFB,16.3,5.0,4.37,6.28,7.47,2.54,23.5,8.82,44.5
830.0,0.208,Air,CFB,7.9,5.0,3.96,6.37,7.39,2.39,24.1,1.83,19.0
707.0,0.386,Air,BFB,22.8,10.0,0.661,10.1,4.19,3.09,26.1,6.03,40.8
789.0,0.34,Air,CFB,15.2,20.0,1.9,8.74,5.11,3.3,25.1,1.94,22.8
809.0,0.273,O2,BFB,10.6,1.0,15.2,11.4,16.1,1.04,0.446,3.0,22.9
802.0,0.15,Steam+O2,CFB,8.9,1.0,18.3,9.37,13.9,1.48,1.12,1.57,21.2
824.0,0.35,Air,BFB,12.6,5.0,2.81,8.21,5.74,2.15,25.3,3.29,19.2
862.0,0.371,Air,BFB,9.8,5.0,2.89,8.36,6.0,1.55,25.4,1.68,14.2
759.0,0.391,O2,CFB,18.4,1.0,13.9,13.7,15.1,1.02,0.504,1.01,18.5
768.0,0.169,Steam+O2,BFB,10.4,1.0,18.1,9.66,13.9,1.46,1.07,4.17,27.7
847.0,0.275,Steam+O2,DFB,7.7,20.0,16.6,10.5,12.0,4.04,1.0,0.339,7.27
775.0,0.379,Air,BFB,23.6,1.0,2.38,9.24,5.95,0.527,26.1,2.84,24.5
802.0,0.337,Air,BFB,17.1,1.0,3.4,8.35,6.62,0.513,25.3,2.97,21.5
864.0,0.27,Air,BFB,10.0,10.0,3.36,7.13,6.56,2.78,24.3,3.36,19.1
811.0,0.201,Air,DFB,21.3,1.0,4.32,6.63,7.71,1.01,24.5,0.741,12.8
776.0,0.344,Air,CFB,13.7,15.0,2.12,8.71,5.05,3.12,25.2,1.88,20.6
769.0,0.298,Steam+O2,CFB,20.4,1.0,17.0,11.3,13.3,1.49,1.09,1.38,16.6
